msgLen;blockLen;HDR_MESSAGETYPE;schemaID;versionID;HDR_TOPICID;HDR_PARTITIONID;HDR_BATCHID;HDR_OFFSETID;HDR_PRODUCETIME;HDR_CONSUMETIME;HDR_THREADID;HDR_MIC;ENR_ISIN;ENR_PRICEDECIMALS;ENR_AMOUNTDECIMALS;ENR_QUANTITYDECIMALS;ENR_INSTRUMENTID;ENR_INSTRUMENTGROUPCODE;ENR_OFFICIALSEGMENT;ENR_TRADINGCURRENCY;ENR_CURRENCYCOEFFICIENT;ENR_TRADINGCURRENCYINDICATOR;ENR_POOLFACTOR;ENR_INSTRUMENTDECIMALSRATIO;produceTime;consumeTime;batchID;symbolIndex;instrumentID;BASR_redemptionPrice_1;BASR_redemptionDate_1;BASR_amortizingQuote_1;BASR_currentQuote_1;BASR_poolFactor_1;BASR_exDatePoolFactor_1
8169;29;12255;0;331;MTXCREFD;0;;4648;1707914849002754560;12600310528363531440;K2CDWMTXCREFD;ETFP;DSS_CDW_test;7;7;7;18029192518840629494;F9;dRvQALUfO5pbN6uAT6xJ8b1IjuVMiTcIDarYexl4uInsYHC1tO2EXvTOHJyTfXD8UhOuMF;mZz;715298285;1;3664267567;7;1707914849002754560;12600310528363531440;1;45567501;7581873196752786951;2044648018687688989;25839;-8820616895875351759;-4900820189350163669;1117071180;36897
8169;29;12255;0;331;MTXCREFD;0;;4648;1707914849002754560;12600310528363531440;K2CDWMTXCREFD;ETFP;DSS_CDW_test;7;7;7;18029192518840629494;F9;dRvQALUfO5pbN6uAT6xJ8b1IjuVMiTcIDarYexl4uInsYHC1tO2EXvTOHJyTfXD8UhOuMF;mZz;715298285;1;3664267567;7;1707914849002754560;12600310528363531440;1;45567501;7581873196752786951;5909216176208263035;163;7117484461816952663;878563645623537616;64243646;42397
8169;29;12255;0;331;MTXCREFD;0;;4648;1707914849002754560;12600310528363531440;K2CDWMTXCREFD;ETFP;DSS_CDW_test;7;7;7;18029192518840629494;F9;dRvQALUfO5pbN6uAT6xJ8b1IjuVMiTcIDarYexl4uInsYHC1tO2EXvTOHJyTfXD8UhOuMF;mZz;715298285;1;3664267567;7;1707914849002754560;12600310528363531440;1;45567501;7581873196752786951;-1087200161848969519;52773;-4617210786703331593;-3155672496245299935;2436367699;54998
8169;29;12255;0;331;MTXCREFD;0;;4648;1707914849002754560;12600310528363531440;K2CDWMTXCREFD;ETFP;DSS_CDW_test;7;7;7;18029192518840629494;F9;dRvQALUfO5pbN6uAT6xJ8b1IjuVMiTcIDarYexl4uInsYHC1tO2EXvTOHJyTfXD8UhOuMF;mZz;715298285;1;3664267567;7;1707914849002754560;12600310528363531440;1;45567501;7581873196752786951;-1034701728933027525;39281;6312434056319460057;2510589013704275223;429306494;51686
8169;29;12255;0;331;MTXCREFD;0;;4648;1707914849002754560;12600310528363531440;K2CDWMTXCREFD;ETFP;DSS_CDW_test;7;7;7;18029192518840629494;F9;dRvQALUfO5pbN6uAT6xJ8b1IjuVMiTcIDarYexl4uInsYHC1tO2EXvTOHJyTfXD8UhOuMF;mZz;715298285;1;3664267567;7;1707914849002754560;12600310528363531440;1;45567501;7581873196752786951;-8398260583696622315;52381;-567378467724800723;-4698646650787033182;3889778069;13097
8169;29;12255;0;331;MTXCREFD;0;;4648;1707914849002754560;12600310528363531440;K2CDWMTXCREFD;ETFP;DSS_CDW_test;7;7;7;18029192518840629494;F9;dRvQALUfO5pbN6uAT6xJ8b1IjuVMiTcIDarYexl4uInsYHC1tO2EXvTOHJyTfXD8UhOuMF;mZz;715298285;1;3664267567;7;1707914849002754560;12600310528363531440;1;45567501;7581873196752786951;3952213695223600063;16753;9112274213066479510;8503024115914025458;1919624282;3387
8169;29;12255;0;331;MTXCREFD;0;;4648;1707914849002754560;12600310528363531440;K2CDWMTXCREFD;ETFP;DSS_CDW_test;7;7;7;18029192518840629494;F9;dRvQALUfO5pbN6uAT6xJ8b1IjuVMiTcIDarYexl4uInsYHC1tO2EXvTOHJyTfXD8UhOuMF;mZz;715298285;1;3664267567;7;1707914849002754560;12600310528363531440;1;45567501;7581873196752786951;1880166818961847185;26087;1091307428565240552;-4343661728545671338;575740649;37757
8169;29;12255;0;331;MTXCREFD;0;;4648;1707914849002754560;12600310528363531440;K2CDWMTXCREFD;ETFP;DSS_CDW_test;7;7;7;18029192518840629494;F9;dRvQALUfO5pbN6uAT6xJ8b1IjuVMiTcIDarYexl4uInsYHC1tO2EXvTOHJyTfXD8UhOuMF;mZz;715298285;1;3664267567;7;1707914849002754560;12600310528363531440;1;45567501;7581873196752786951;-4522373584689210261;26550;-7203907963030122358;8343986257992781370;3941602733;61141
8169;29;12255;0;331;MTXCREFD;0;;4648;1707914849002754560;12600310528363531440;K2CDWMTXCREFD;ETFP;DSS_CDW_test;7;7;7;18029192518840629494;F9;dRvQALUfO5pbN6uAT6xJ8b1IjuVMiTcIDarYexl4uInsYHC1tO2EXvTOHJyTfXD8UhOuMF;mZz;715298285;1;3664267567;7;1707914849002754560;12600310528363531440;1;45567501;7581873196752786951;3808753298141092917;23166;2318488729833146216;6829336179290577968;3152267340;61757
8169;29;12255;0;331;MTXCREFD;0;;4648;1707914849002754560;12600310528363531440;K2CDWMTXCREFD;ETFP;DSS_CDW_test;7;7;7;18029192518840629494;F9;dRvQALUfO5pbN6uAT6xJ8b1IjuVMiTcIDarYexl4uInsYHC1tO2EXvTOHJyTfXD8UhOuMF;mZz;715298285;1;3664267567;7;1707914849002754560;12600310528363531440;1;45567501;7581873196752786951;-4898532154426270904;24556;-7295281738252584986;-5991091045942737336;1278030300;64713
8169;29;12255;0;331;MTXCREFD;0;;4648;1707914849002754560;12600310528363531440;K2CDWMTXCREFD;ETFP;DSS_CDW_test;7;7;7;18029192518840629494;F9;dRvQALUfO5pbN6uAT6xJ8b1IjuVMiTcIDarYexl4uInsYHC1tO2EXvTOHJyTfXD8UhOuMF;mZz;715298285;1;3664267567;7;1707914849002754560;12600310528363531440;1;45567501;7581873196752786951;2014026186064034974;32840;-2907286912807322398;1797450298301464033;448273814;14105
8169;29;12255;0;331;MTXCREFD;0;;4648;1707914849002754560;12600310528363531440;K2CDWMTXCREFD;ETFP;DSS_CDW_test;7;7;7;18029192518840629494;F9;dRvQALUfO5pbN6uAT6xJ8b1IjuVMiTcIDarYexl4uInsYHC1tO2EXvTOHJyTfXD8UhOuMF;mZz;715298285;1;3664267567;7;1707914849002754560;12600310528363531440;1;45567501;7581873196752786951;-8036987939092477988;9624;-8869633687687352215;-4177966028523322074;2704398260;26314
8169;29;12255;0;331;MTXCREFD;0;;4648;1707914849002754560;12600310528363531440;K2CDWMTXCREFD;ETFP;DSS_CDW_test;7;7;7;18029192518840629494;F9;dRvQALUfO5pbN6uAT6xJ8b1IjuVMiTcIDarYexl4uInsYHC1tO2EXvTOHJyTfXD8UhOuMF;mZz;715298285;1;3664267567;7;1707914849002754560;12600310528363531440;1;45567501;7581873196752786951;-2637218755746220274;26829;-2458967979542437420;-8031532545470614407;661107556;50069
8169;29;12255;0;331;MTXCREFD;0;;4648;1707914849002754560;12600310528363531440;K2CDWMTXCREFD;ETFP;DSS_CDW_test;7;7;7;18029192518840629494;F9;dRvQALUfO5pbN6uAT6xJ8b1IjuVMiTcIDarYexl4uInsYHC1tO2EXvTOHJyTfXD8UhOuMF;mZz;715298285;1;3664267567;7;1707914849002754560;12600310528363531440;1;45567501;7581873196752786951;-232385163210358094;43148;6472579138450469157;-2111189182522166928;3324702774;28516
8169;29;12255;0;331;MTXCREFD;0;;4648;1707914849002754560;12600310528363531440;K2CDWMTXCREFD;ETFP;DSS_CDW_test;7;7;7;18029192518840629494;F9;dRvQALUfO5pbN6uAT6xJ8b1IjuVMiTcIDarYexl4uInsYHC1tO2EXvTOHJyTfXD8UhOuMF;mZz;715298285;1;3664267567;7;1707914849002754560;12600310528363531440;1;45567501;7581873196752786951;6580384808897231695;13404;71290828236521259;6616111758028811314;2195073641;48586
