msgLen;blockLen;HDR_MESSAGETYPE;schemaID;versionID;HDR_TOPICID;HDR_PARTITIONID;HDR_BATCHID;HDR_OFFSETID;HDR_PRODUCETIME;HDR_CONSUMETIME;HDR_THREADID;HDR_MIC;ENR_ISIN;ENR_PRICEDECIMALS;ENR_AMOUNTDECIMALS;ENR_QUANTITYDECIMALS;ENR_INSTRUMENTID;ENR_INSTRUMENTGROUPCODE;ENR_OFFICIALSEGMENT;ENR_TRADINGCURRENCY;ENR_CURRENCYCOEFFICIENT;ENR_TRADINGCURRENCYINDICATOR;ENR_POOLFACTOR;ENR_INSTRUMENTDECIMALSRATIO;oESessionID;firmID;messageSendingTime;clientOrderID;symbolIndex;eMM;price;bypassIndicator
56;46;545;0;331;TCSALLOU;0;0;396;;;K2CDWTCSALLOU;MTAA;DSS_CDW_test;7;7;7;4397524956389506157;Vj;I5V1vDFWpZLoqvxHK7xkUEPVL2iawK12ELv3dC1ypKH4C0qtZi3DOtfB8qpUsscNxZqvaK;TmD;1496310362;0;1842345775;7;14403763953983705497;Fw5w6PQe;1706095049668068155;9042963647701623577;263580681;7;443;111
56;46;545;0;331;TCSALLOU;0;0;397;;;K2CDWTCSALLOU;MTAH;DSS_CDW_test;7;7;7;16917003236363965301;Qk;jwDNjsVITWihoSQqmivXXAnC8XGisn3KeMwqbWGV5vy1gCn4tkRz1RXco3n3Pihz0Z5GI4;nlk;235036440;1;1142496033;7;17673669559313957405;YKxeHsTT;1706095049668171936;-4694709509837196576;136283212;10;238;176
56;46;545;0;331;TCSALLOU;0;0;398;;;K2CDWTCSALLOU;MTAH;DSS_CDW_test;7;7;7;13013610096980342663;zi;n2BzGHJQizdJuGeylooinNnYwY1D1IhgmTQAbQWnJwM2eI1LQMDsTsYxfU8f20YbXsc993;ZxP;1185135321;1;2700231817;7;15332785350452970773;CgZXudQu;1706095049668240032;4709571168271928534;315863755;2;76;159
56;46;545;0;331;TCSALLOU;0;0;399;;;K2CDWTCSALLOU;ETFP;DSS_CDW_test;7;7;7;432575572496956472;51;ZoN8AMqKRSFWAZmSVY89AUkV2eY0sqm4DpjgHMC8Q4P3OhOdI5SJqnIub1mGZw59Y8JsnT;1Oh;4154696354;0;128672798;7;9103006188876484688;3YAWb37l;1706095049668305428;1677668796827202978;48267691;15;224;176
56;46;545;0;331;TCSALLOU;0;0;400;;;K2CDWTCSALLOU;BGEM;DSS_CDW_test;7;7;7;253383926040436670;rY;8sJh4IjTQ36PIQZuVACyJ3nhjBAcIpHImKwFt9MIVJ7XV6zSpsH3fNmc4FsgnJLHhlRUMq;RK7;4069860172;0;385347070;7;14929983602762404032;yN3ouyNn;1706095049668371992;2817349715226049953;812571727;9;272;46
56;46;545;0;331;TCSALLOU;0;0;401;;;K2CDWTCSALLOU;MOTX;DSS_CDW_test;7;7;7;10967367424687215335;2v;W5yenAAoIomWU4kALbRaJMKENpFvG1I9IofaLLylfSITmofckklNWJLwhcjGliIh3jXYYc;LVD;1587570106;1;2079309820;7;2976362749768072098;trSZfnsc;1706095049668438948;6501825586945408798;726810605;14;434;105
56;46;545;0;331;TCSALLOU;0;0;402;;;K2CDWTCSALLOU;ETFP;DSS_CDW_test;7;7;7;4580367871792003646;Ej;SGWaFQSdDwcEEg6NqPAhfRgvpzUYhZxmKicUESMe4hU1n6ob1Krwew1sVjkJs3fisC9sRk;8YZ;3930911048;1;73427586;7;6738720668739495089;UilAIM4B;1706095049668505916;-9032668954827083595;722112170;99;285;10
56;46;545;0;331;TCSALLOU;0;0;403;;;K2CDWTCSALLOU;ABCD;DSS_CDW_test;7;7;7;16567839055525559032;ms;RfdgZO6lprsO70UiSpDxvB3wED82l0tyPj1KouBGYbl63kmeuOu1Ir0ZzAEo7lZLvUS0u4;7MW;2798970869;1;2333845261;7;7743416083649600569;21Oh6BEQ;1706095049668574553;3474863824568276789;315339150;1;280;252
56;46;545;0;331;TCSALLOU;0;0;404;;;K2CDWTCSALLOU;ETLX;DSS_CDW_test;7;7;7;2277666122434755719;go;tgHguhWjlI3ctcpoGBi9vCdfz9si5nOb2YHEKUBXC68diYarQac6jHoKe6NAMNrAbQ4hk3;vHh;209292385;1;506800696;7;45559589610085966;XQSpbwfH;1706095049668643595;-3955091976425210743;671031343;5;410;246
56;46;545;0;331;TCSALLOU;0;0;405;;;K2CDWTCSALLOU;ETLX;DSS_CDW_test;7;7;7;13521653307139138462;Ox;B8AFc3fbuZWNtWFqGr2Ge4DWaVULaPHxa1WAcGtl2f4alPnTHPhtuKjcqJWC0vNGWNfeih;Kyw;757520659;1;2618767501;7;16685220424376330726;uYpctCIy;1706095049668718788;8195776038073926333;135619081;8;104;129
56;46;545;0;331;TCSALLOU;0;0;406;;;K2CDWTCSALLOU;MTAH;DSS_CDW_test;7;7;7;4464391562571660486;Ro;8R93JgLqtgUOQf7bYc4l0UTfmVaeZxnvCTxmveY8dOMhc1eZ4Z353awpQ32mgWieFYrObR;1Ft;3991807441;1;4244207925;7;14421250430711397551;QavAYYLJ;1706095049668792281;-6404841037663937659;611076622;6;87;77
56;46;545;0;331;TCSALLOU;0;0;407;;;K2CDWTCSALLOU;EXGM;DSS_CDW_test;7;7;7;12369365502866502262;yp;Bif62lLmaxmwv5WSDVLqX1246SlTdVDRbRl4rFJi0pEe6wLFagE8My6OsbFa5j5vjUAqie;jEL;4083509881;0;2262818496;7;9899407058858987371;dOng0Evs;1706095049668865362;3079815639301574663;365314678;17;422;241
56;46;545;0;331;TCSALLOU;0;0;408;;;K2CDWTCSALLOU;ATFX;DSS_CDW_test;7;7;7;7028453693031795075;Yo;8UcGY2IsmQ5J37uGuCCeEpmuIT39Z5780VlCgeiCEJbsQ6CkRSkYNSg9D4JWHZ1FEqZyrE;j3L;423532867;0;860683633;7;1398333804056121502;oHM3AcXd;1706095049668941585;-6473785068940321348;685651177;11;467;166
56;46;545;0;331;TCSALLOU;0;0;409;;;K2CDWTCSALLOU;MTAH;DSS_CDW_test;7;7;7;16107250302887779993;Sh;y5iJI7lKI6H9U2Vq7qGynA6byv0VAht0A7Q9oaYZdJr6LJKQSPb148FGbyj3blgpXEPuVN;6dU;2743569216;0;1129791786;7;7615740872776194733;yEB7Ialq;1706095049669019609;1278967974889797965;418664403;4;410;191
56;46;545;0;331;TCSALLOU;0;0;410;;;K2CDWTCSALLOU;MTAH;DSS_CDW_test;7;7;7;167335769121138592;n3;QddX6EHSyMUkyaCqPHQ2yVkJPdfPnSQlrXBa2cYzoSeryKwcxTGF9lsyAAycELFbaI5507;kd0;1025439045;0;1521194008;7;2850379176287767501;rtot6fFK;1706095049669099351;-3094943877946825159;648090412;17;22;216
56;46;545;0;331;TCSALLOU;0;0;411;;;K2CDWTCSALLOU;BGEM;DSS_CDW_test;7;7;7;15737253087374332469;dI;tof6kmIROAfvkWLjZpYkX3liii7UCK8yfUeVHGhNggrriJKLr41MR12ZFKvGLxtSdMMZFU;iPI;108538112;0;2845375302;7;147116415248018088;qJa6xSLf;1706095049669177602;4617491816194475266;495012502;14;292;3
56;46;545;0;331;TCSALLOU;0;0;412;;;K2CDWTCSALLOU;EXGM;DSS_CDW_test;7;7;7;13180576197349592966;Ya;LvoLr3gGSgjQ3CPkb0hw1PsQNlPhohcO0PkmG8buRVBEzBmZeCta4pOCzb9TXvplE2lD5n;ZEE;1370878464;0;564556373;7;11179481061166573726;y0FiFabG;1706095049669258224;783906444873120212;882027164;9;235;93
56;46;545;0;331;TCSALLOU;0;0;413;;;K2CDWTCSALLOU;MTAA;DSS_CDW_test;7;7;7;8266442834919254042;yr;5b2nAmyN8rTgG8fb6emZrDwb5rtgVBx02p3gk0lgiRYSnxHOPj1ki1LbY8aXviYDEIHOWT;Ned;2104623119;0;2932992915;7;105263353193397582;1n1Pt59S;1706095049669341175;8131753308756298160;198284442;6;252;44
