msgLen;blockLen;HDR_MESSAGETYPE;schemaID;versionID;HDR_TOPICID;HDR_PARTITIONID;HDR_BATCHID;HDR_OFFSETID;HDR_PRODUCETIME;HDR_CONSUMETIME;HDR_THREADID;HDR_MIC;ENR_ISIN;ENR_PRICEDECIMALS;ENR_AMOUNTDECIMALS;ENR_QUANTITYDECIMALS;ENR_INSTRUMENTID;ENR_INSTRUMENTGROUPCODE;ENR_OFFICIALSEGMENT;ENR_TRADINGCURRENCY;ENR_CURRENCYCOEFFICIENT;ENR_TRADINGCURRENCYINDICATOR;ENR_POOLFACTOR;ENR_INSTRUMENTDECIMALSRATIO;produceTime;consumeTime;batchID;marketingProductNameID;marketingProductNameLabel;productSubtypeEnglishLabel;instrumentTypeID;instrumentTypeLabel;instrumentSubtypeID;instrumentSubtypeLabel;aCEPIType;aCEPIClass;callPutIndicator;bullBearIndicator
253;243;12249;0;331;MTXCREFD;0;;3648;1707914804003630080;16721542390631287069;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914804003630080;16721542390631287069;1;2133737926;r4m065imp2Qf3alEZR9ZhM2ctcsxpDeExlibN1dX;z0GmikYBxwrziBlRaDlt5S3hwVPP91OzWQrIdNvJSjahJ5wb1Tjh6n98Cgeid8hOZO4ulk;744073750;3pgMasDuDBGUCJZgVTz9RldecNzlSsi7Iiv0H5dEjjzK3pqEY6;4094205304;ICiH8EqzEJiYQkznHM5jEKDu17LQCtacXT2QvOaMSZBQnsXkVv;2;2;1;95
253;243;12249;0;331;MTXCREFD;0;;3649;1707914804004491520;16749609186199360184;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914804004491520;16749609186199360184;1;2249345133;SRAOgR8uvvjNHOFA4sqnTY9CbBRYBV71DZ9mCtqZ;zDhb8DaJtXUBBN4WGm4LLO2KdTIQVU6lFfKG558OsfAs43Vp6BBEJliIItXLUFHvt1E42q;2887119207;pw6Gj8K2eqbMZ6A5rqzZ0OifHAIpY6fe9LplVp3bSHPs9EYi1A;187404412;AUdOYsrxKvgtIVivlfjp30xGGYbtWbFYNYX4NAORtdQ6c8WINW;9;4;51;11
253;243;12249;0;331;MTXCREFD;0;;3650;1707914804005318144;5207928354705095834;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914804005318144;5207928354705095834;1;466654626;GthJ8GJv8u6XB3FdAnw8DI5WyK5sd5k6ve2Tlxdu;Tl8kj3HjJEaVVANNDkALlYF6NmBPGgzsgzZRTxEL0Rbx2GBWmB96RMWyc1AewKLndLK2r7;786438717;EHhprR17kqENdxqpU2CnyTQhbeNJ2qB1Cu6VzlOnAYMuzDaLzq;1485396119;YyZh77OGFat8zYIH0VUILQCW4mO6oOIGZfQAskJYh2wCqd28U6;18;3;176;60
253;243;12249;0;331;MTXCREFD;0;;3651;1707914804006126848;14422507019159219796;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914804006126848;14422507019159219796;1;3954804842;QGjm76pUnfqRBX37DKm0pa7W9NdzWsYwkF6JcYEI;dsWfsQPaRQ9YkE3eAr54ox80Qbk6kXasJY4k5OrDFwe4QODcgdKdoHXzkackvhg8gmc8bY;738440454;MoOrNr7r88ekxBOgWLiQ1G7mOVWTk0DVeAt3SaSmfB1q1QImg8;976184000;OOqnipgZgSMoqToHwNEWwHYq786HskW2b9CY2GWU70TgKiWzUz;11;1;101;10
253;243;12249;0;331;MTXCREFD;0;;3652;1707914804006919680;17103693570095027137;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914804006919680;17103693570095027137;1;4036531262;70XRept0yVYv6aihb1hAqgEGY5B9BM3lEDdg10fW;zhihBbuTLD4imcldqn0Ym5M6bQ8Jnv854MqFT61FhoLDqgbquiOcuVvPh1KlCc1LWj37LA;2597960348;ZzNWQaBFmzvckqzmQwZX3QnRSeYlBoP9KxOspcUKS1HEWhbE27;299351167;5N5K1e4sL1uOEPbcQwIYe9ZybIaCSUiYxzHRvd4OcPGbLiLOxR;8;5;247;115
253;243;12249;0;331;MTXCREFD;0;;3653;1707914804007723264;7776428457326541399;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914804007723264;7776428457326541399;1;64424773;vz4f5rWT1sSa9PmpAExwPGvKzxnqYjrEl4RrzTSs;NCzjnm4xgJ5eqDUc3g3nZNMAVbVY2LK1kliY5GNvehMZlSxTZh1h9kkuVgU86ViScwlzDJ;2954953622;poi6kGcBxWp2bDlEsMfOD8cUzcO11QtjXdUs8RCnfg8AKowvZ1;2333198372;HkPXfBFJ4088xTwHCbjolwXHHxK6CvAWzgQSzEz7hcIzI3P0fT;13;1;42;231
253;243;12249;0;331;MTXCREFD;0;;3654;1707914804008509696;8917719264462732995;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914804008509696;8917719264462732995;1;731383081;sCdByBbz4BJXgOjVECUcfQcGcCd9zRi7CojHZv08;ic9ErLdWEhLnR5NJbcMhdkADyw3883voow3srlt8JQjoKxm66k1rZNwF9YB2ig0IOvD8ya;974770676;Rru2YQOitlnFvqC2boUGOAkwygXySh9v9pxO4dQo7iu8TmDnqQ;712944475;UgZYvncgQ4ilwwWWmHzULX3ipxouNGxnhHKj5b64FQJa2kx6CL;14;5;76;45
253;243;12249;0;331;MTXCREFD;0;;3655;1707914804009318144;6243530173587829541;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914804009318144;6243530173587829541;1;4061213978;boVLVKqIbCrxxW4MHqF6tOnpJiLDiFcPxfTytafd;UJxLEbUpnXudxMSlF9a2doD73iyHNAjIcSpkChPbEoN4f7npEY28YQADY3fbJDKTR3DFU2;1610050193;pkPxDslhKrVT1G2qgyDRQiqyWJvDC7NME2UJYjcOBfL5cEuEZA;4001461038;m7zJGMRgoPcN6fbc9FCy3VlbHkzYqs7lmRA1p8JEw9ncXtP6DV;5;4;149;27
253;243;12249;0;331;MTXCREFD;0;;3656;1707914804010111488;566014523418863847;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914804010111488;566014523418863847;1;3073101927;UuvxaBmb9gtUInJ5s5wHzckili8T8tXTQRBh6h0y;J1RG2JfmTUCtN2hkxLkqOQgZhpmdBhFamLdF4ehTyUrZgTMCjDM9AbYX9McHlOiUKhnssY;762253992;W8ZV75c55T8yDVDWYLUpYm8MFh0KRMWZnMnR2t568IucdVMhs8;2924022320;ykHigu1JzHeia4YHAlSbQTXEV0CdzVawcZObTsP3AScly5k2i5;19;5;2;242
253;243;12249;0;331;MTXCREFD;0;;3657;1707914804010908416;7073500251097997570;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914804010908416;7073500251097997570;1;598453305;4tRXWpGjmmU6J1XxaVfJdOfUyu4U2q4ZnypzQMLV;7y91r2zSGXraYj1sq7cEIl6ATn107R7jnX9uZWwwKZXuaaGQhW27yYimyOJ2NYPh6g9uwA;1599535543;NbvXJnmko98Bdrh67T52XEyzApc3Jm5MPOS71UqdukZPMeluUB;486250106;BjIdPd9iKPcgZycNFkA4rJSb3k9l7kBXgvLtM2POTVf5lHoUab;7;4;127;199
