msgLen;blockLen;HDR_MESSAGETYPE;schemaID;versionID;HDR_TOPICID;HDR_PARTITIONID;HDR_BATCHID;HDR_OFFSETID;HDR_PRODUCETIME;HDR_CONSUMETIME;HDR_THREADID;HDR_MIC;ENR_ISIN;ENR_PRICEDECIMALS;ENR_AMOUNTDECIMALS;ENR_QUANTITYDECIMALS;ENR_INSTRUMENTID;ENR_INSTRUMENTGROUPCODE;ENR_OFFICIALSEGMENT;ENR_TRADINGCURRENCY;ENR_CURRENCYCOEFFICIENT;ENR_TRADINGCURRENCYINDICATOR;ENR_POOLFACTOR;ENR_INSTRUMENTDECIMALSRATIO;produceTime;consumeTime;participantTypeID;name;participantTypeQualifiers;batchID
79;69;12219;0;331;MTXCREFD;0;;1248;1707914701003155968;16167974363431565291;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914701003155968;16167974363431565291;7;0rk4igtyHzdXrBgXTi7AwKSqQ1YX2BDscrHeVMJPCkKF1Y7YCa;1;1
79;69;12219;0;331;MTXCREFD;0;;1249;1707914701003997184;4649289059699132658;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914701003997184;4649289059699132658;4;3iZE97EVuBt4foSWqYqswuBCim5QJBeZMVr35evpvgPZoF0wYo;0;1
79;69;12219;0;331;MTXCREFD;0;;1250;1707914701004805888;13097235219424865224;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914701004805888;13097235219424865224;6;r2CY7GK2LanYLCIzNXLjiopFQvKDFRBU3FbXpnIOj3zsVsWaxY;1;1
79;69;12219;0;331;MTXCREFD;0;;1251;1707914701005600768;9958911794429246394;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914701005600768;9958911794429246394;9;GsF6s4lNKPUFtFzcVtZ9CgM8gTV4Kv4FWHWxExWHr5w3zgwts1;1;1
79;69;12219;0;331;MTXCREFD;0;;1252;1707914701006400768;6180322622434032746;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914701006400768;6180322622434032746;1;jCje7TKlZexBLWI1GFGvffQadg307nxPqMP6lm2lJknddoa6kJ;0;1
79;69;12219;0;331;MTXCREFD;0;;1253;1707914701007191808;5801675350735489986;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914701007191808;5801675350735489986;5;RvJytDK73JdGGUkthzIkRcpsTxk1lEdpb3R3M6v6I1cfFErjST;1;1
79;69;12219;0;331;MTXCREFD;0;;1254;1707914701007973888;3601917897208588130;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914701007973888;3601917897208588130;11;JQUY1hxvWobZY1Cbc5KI0agJ9OmtE9DdAgYm5KTrJyaot2X1rN;1;1
79;69;12219;0;331;MTXCREFD;0;;1255;1707914701008771840;2147014729080757652;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914701008771840;2147014729080757652;2;XUJjnPVbuFtnZgLrvNS08TsMHMMcnwZ6UYqKQDI6XipmAkElKe;0;1
79;69;12219;0;331;MTXCREFD;0;;1256;1707914701009548288;2446255127300479747;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914701009548288;2446255127300479747;3;yzQDkJM7Blaku6diROJKQGpVu5zUld3kZ2Dj5NyrU4GyTnmijR;0;1
79;69;12219;0;331;MTXCREFD;0;;1257;1707914701010333696;8753687634191777484;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914701010333696;8753687634191777484;12;4tL5umQOJS7Tv812vvN8meTiVle3oyBlhGtnZDDAZUMEWELeAQ;0;1
