msgLen;blockLen;HDR_MESSAGETYPE;schemaID;versionID;HDR_TOPICID;HDR_PARTITIONID;HDR_BATCHID;HDR_OFFSETID;HDR_PRODUCETIME;HDR_CONSUMETIME;HDR_THREADID;HDR_MIC;ENR_ISIN;ENR_PRICEDECIMALS;ENR_AMOUNTDECIMALS;ENR_QUANTITYDECIMALS;ENR_INSTRUMENTID;ENR_INSTRUMENTGROUPCODE;ENR_OFFICIALSEGMENT;ENR_TRADINGCURRENCY;ENR_CURRENCYCOEFFICIENT;ENR_TRADINGCURRENCYINDICATOR;ENR_POOLFACTOR;ENR_INSTRUMENTDECIMALSRATIO;produceTime;consumeTime;batchID;firmID;firmName;membershipSegmentID;membershipSegmentName;registrationRole;marketConsolidated;subscriptionID
197;187;12257;0;331;MTXCREFD;0;;5048;1707914867005991424;16417053091738860065;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914867005991424;16417053091738860065;1;fWt6jA1O;VmGrbZY7zcDDPcGB6SrYygzTmVarAM1OyiKA8SeCJeOp4pJMGXtbUwgv44TelSjrl46QmiRDbc1Z40a2kyOQ6Q7SdkMi3iFFb50J;1910071680;U5sttBLQ6jeI7MlzyxTGmBuFPpuC9xpEC0wnidOca8twsr7GxN;y7y;1;j1m
197;187;12257;0;331;MTXCREFD;0;;5049;1707914867006857728;2215959092270505440;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914867006857728;2215959092270505440;1;L5vnEGIq;POkyCUpM4271r9mdMHTEdFAARGmbDtC6BedvCooRUB5Z7N8rdWElbRs9TSKod13zXLHtHh8NPOPHD4xvWziELEDNUXXrYtSFKp5l;2858595920;G89D4EMlgjoqoWG2muKfFzcWXjIAqgKTrVvbkdUNLM6NtYiCwT;jY8;0;lYL
197;187;12257;0;331;MTXCREFD;0;;5050;1707914867007674880;3084005064152056258;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914867007674880;3084005064152056258;1;jSZFOSAZ;J9TpkpeCgdxx6iWWXMbLg7MQwpzUg0KcPEr5wgnsBwD6Aua8spFiBZgWfdGDNOlS2CD93TmtEwiAFJxGp7cpoGETExiwY6bcnd3N;918384522;OJJd4cOnEoaaXKbLt5HGwPi7NIKt7Eol7TKF0m0CgYg5Q7xZyn;yWB;1;k6O
197;187;12257;0;331;MTXCREFD;0;;5051;1707914867008482048;18384845770442160945;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914867008482048;18384845770442160945;1;VxQ0B8FN;pY8pTpRn1POXC0Hs2D0fmF2J08EGr7D72cBIn1c1XpIhcgNTvPQtmTUmVJHB6drlATBgI6ThTaUFhzi7bUemUXF6foBNoys0TdwN;3904934998;TmfjwcbI2jpP8egncykeBDoHUTCGxiWcp4A5yJLJRCw7lvczb0;YJc;1;PYl
197;187;12257;0;331;MTXCREFD;0;;5052;1707914867009271552;12288464026131084909;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914867009271552;12288464026131084909;1;1f2fBzSf;gTVgRonKNDazPouRN0A6ETA5w5KoFbdP393ELxdIv3MUwkPTAYih7f9sPsEXS4aRvvmwxlQDZ9EKA6ueQ16x72SQ2L3v6liHUZ6W;3945063487;Ay5lDJ3a0pMa1hdZ1mc7tZ6liKVl1C51aELnZIUZR01ExHSODV;zXr;1;ZL4
197;187;12257;0;331;MTXCREFD;0;;5053;1707914867010055680;3707161502447792143;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914867010055680;3707161502447792143;1;yap5pVnP;lI24dLmRcqNzw9euhBX4R8eP9keMA4kp6lYs7JkNzmV37NEguKAn5yVKizXY7UDGKJrJpNAhpcX8Tp0SMne8UpZIUDJbkue0e2v4;1679205260;jpt1xvQ40Y5GfvTj9kg4MgxZZ99vAYJgnGRcHwdfOVUwMpvcSO;UeK;0;mFW
197;187;12257;0;331;MTXCREFD;0;;5054;1707914867010849024;16735088000241202181;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914867010849024;16735088000241202181;1;bIw7m10J;ud4gkjgLnYyIv0qygHcxPu6h48E2vzFiCCkadJ8PQ1MDifdBBE0KeSc29QV0arqPKutizZX6E6zsvKWhChyL3I8sHjoUTSx6tlgm;2348498886;ENOMYq3tZIVgOLTmOqEbkAn7H4AAzIznNFoUh8oDR6gkTISUfA;dXR;0;PeK
197;187;12257;0;331;MTXCREFD;0;;5055;1707914867011651840;8082340957503932237;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914867011651840;8082340957503932237;1;bteKyh3q;kdvmTscJZnecsgUJTSSDjkwcvnC8ArCTRoPeGfVWXU7YoOl86OtOj9iXeE3LlhDjRFCdbRG7Gpzq6yZ2n5GDl0EubJUPcBecJsVJ;3627909845;JmP8pejdqdPXm6ApqLJiz2Kxtx5tCDDomWzpc54SIWRTKUCEpA;LgE;1;fEG
197;187;12257;0;331;MTXCREFD;0;;5056;1707914867012437504;15600264595133818059;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914867012437504;15600264595133818059;1;we9nwkjO;PdrV8TouuH0GshoBGk5EwDWi8WkJiradOgdhgCvoEmDEEt2xXSAvK65Ac6AQeevHS889E4qsl8buWVWeK92gKKdhWX9u4F1YQDdy;4092241846;re2AcOTdvLdBcTO4mcnL35Br8aM3QsW2f4ZRoiBco0EU197KeM;UkP;1;ETj
197;187;12257;0;331;MTXCREFD;0;;5057;1707914867013228800;7746836290489197036;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914867013228800;7746836290489197036;1;U89cFYy3;VVbbaY2Xi2CPvZk1w9Dhal9LXlx66YSqhlkm4b0ZuDUf7QlTk3Ft6oLF78bgcsN8Wo6bhWdY9UumHsFnIqroqoGKbPsWfE0T1Q82;280746089;0CP2PGSN8I30NN0mCYHt4sfdTkrn2jXBb73CvosSleuii9A0kQ;UGn;1;LkI
