msgLen;blockLen;HDR_MESSAGETYPE;schemaID;versionID;HDR_TOPICID;HDR_PARTITIONID;HDR_BATCHID;HDR_OFFSETID;HDR_PRODUCETIME;HDR_CONSUMETIME;HDR_THREADID;HDR_MIC;ENR_ISIN;ENR_PRICEDECIMALS;ENR_AMOUNTDECIMALS;ENR_QUANTITYDECIMALS;ENR_INSTRUMENTID;ENR_INSTRUMENTGROUPCODE;ENR_OFFICIALSEGMENT;ENR_TRADINGCURRENCY;ENR_CURRENCYCOEFFICIENT;ENR_TRADINGCURRENCYINDICATOR;ENR_POOLFACTOR;ENR_INSTRUMENTDECIMALSRATIO;produceTime;consumeTime;sequenceTime;bookOUTTime;eventID;symbolIndex;eMM;closingPriceType;actualClosingPriceType;roundedClosingPrice;rAWClosingPrice;lastTradedPx;bookState;suspensionIndicator
83;73;12067;0;331;2BLKPTOL;0;0;345;1707914901014422272;5535818351937866358;K2CDW2BLKPTOL;BGEM;DSS_CDW_test;7;7;7;8455796870640476680;2e;NXYIUAMhe8F90Pq2HKu4UptMXR0WhWBVCzvMdKaPRTCLmkLM3HmCHdSRWiO0CBXbQHtWo0;R7n;183963952;0;1035156442;7;1707914901014422272;5535818351937866358;1706095060072130496;1706095060072132676;15764260122481074124;468896029;14;53;230;4158402557267296500;178588418373236019;824322213;99;126
83;73;12067;0;331;2BLKPTOL;0;0;346;1707914901019974912;12303569452050956655;K2CDW2BLKPTOL;MTAH;DSS_CDW_test;7;7;7;16917003236363965301;Qk;jwDNjsVITWihoSQqmivXXAnC8XGisn3KeMwqbWGV5vy1gCn4tkRz1RXco3n3Pihz0Z5GI4;nlk;235036440;1;1142496033;7;1707914901019974912;12303569452050956655;1706095060072981713;1706095060072983732;2597584842282439759;136283212;6;71;47;-8193079024612864789;5706012148430116827;536430163;8;183
83;73;12067;0;331;2BLKPTOL;0;0;347;1707914901022369536;8219627975885500962;K2CDW2BLKPTOL;MOTX;DSS_CDW_test;7;7;7;11869602853908844477;2X;egc5VEg4NBdeIJkP1InRnvlnhVysByGEytZbBwvH7lJAWz4svOT9teMkuCFUHUkAgH2yNZ;Tn8;918729049;0;3619853397;7;1707914901022369536;8219627975885500962;1706095060073380391;1706095060073382463;7326487525090542428;941734235;8;223;154;-5956277810359913376;197857501126692622;465838385;3;63
83;73;12067;0;331;2BLKPTOL;0;0;348;1707914901043754240;2384203796781022300;K2CDW2BLKPTOL;EXGM;DSS_CDW_test;7;7;7;13180576197349592966;Ya;LvoLr3gGSgjQ3CPkb0hw1PsQNlPhohcO0PkmG8buRVBEzBmZeCta4pOCzb9TXvplE2lD5n;ZEE;1370878464;0;564556373;7;1707914901043754240;2384203796781022300;1706095060077739364;1706095060077741492;8964297868159503732;882027164;10;212;122;8908429560552333876;-4565442718448099127;233061859;2;66
83;73;12067;0;331;2BLKPTOL;0;0;349;1707914901050460160;13110706811181301810;K2CDW2BLKPTOL;XMOT;DSS_CDW_test;7;7;7;17502663871563463515;iC;SvbAaI0IUWTzA4TDp1g4wa7rorRhs0vVKdzbeLZDjNVmVTWQ5gTiAT1Lwv3RkavfYZfUy2;G7T;2126895777;1;3651464833;7;1707914901050460160;13110706811181301810;1706095060079386234;1706095060079388376;5862229621491644526;880524655;2;196;195;1308183896412740065;-3158245929371923329;920058582;10;23
83;73;12067;0;331;2BLKPTOL;0;0;350;1707914901054063872;17039612231439186628;K2CDW2BLKPTOL;MIVX;DSS_CDW_test;7;7;7;1618233978100863137;h7;j5QNVf1N05pK7Q0dDjBWBA1YvY2W7AZBghl89NmCrKVlSv5vETss1nR8xUz0B1URF9w4tI;odS;3188566063;1;432093612;7;1707914901054063872;17039612231439186628;1706095060080271475;1706095060080273547;9827832691196575185;359830187;2;73;121;-9025123368280012260;3650690227327134224;822590724;8;206
83;73;12067;0;331;2BLKPTOL;0;0;351;1707914901056494336;8865373547945908075;K2CDW2BLKPTOL;ATFX;DSS_CDW_test;7;7;7;266897078074289146;8i;jweKtK9l5vG8XbCm8RI2ry1MznVv38SviM5P5sSN6ObljU1i3f5WmzCKYx4yWlqy2k1bJy;eRU;3936869548;1;4082490661;7;1707914901056494336;8865373547945908075;1706095060080961893;1706095060080964010;4047656614430987316;768715101;10;66;172;-8008993236690186369;4034237167897961178;706046294;9;32
83;73;12067;0;331;2BLKPTOL;0;0;352;1707914901078775808;12931914749248608807;K2CDW2BLKPTOL;BGEM;DSS_CDW_test;7;7;7;4162630343438579170;Wo;iIrXrGD84i1cSExhKh5ydTAbUaFwYpEYYS4mqlWJr1GtvOT0c7ptc6ShJaQNyktb9AFOHu;yhj;3270525008;0;2643206244;7;1707914901078775808;12931914749248608807;1706095060088462883;1706095060088464936;9489121469926745293;164996825;1;127;58;-476132372614997384;-2031516311326823856;734590364;5;53
83;73;12067;0;331;2BLKPTOL;0;0;353;1707914901079558400;10165666498725112206;K2CDW2BLKPTOL;XMOT;DSS_CDW_test;7;7;7;13336993056537659059;mh;7vAlE5rkQTJQin6DgUfmpSmI9ntS5tLueZE4D4XM7UXrcYndKo5HbvPUgKnT7Omrb452hH;Nj2;1365604021;0;2978421877;7;1707914901079558400;10165666498725112206;1706095060088766477;1706095060088768536;16409035508888598545;352622121;15;50;135;560158577805554278;2206382184226712269;667573369;9;129
83;73;12067;0;331;2BLKPTOL;0;0;783;1707914901291308800;8961851295621493428;K2CDW2BLKPTOL;EXGM;DSS_CDW_test;7;7;7;2553913687493546923;qi;05RFpwWXV9p2sRcqtJCNGO1oHqJVxUdmVGTpfD6cd0AoNgiCdnJU0GIcCdMhOR4V65Q9xs;jD3;174816006;1;3599672894;7;1707914901291308800;8961851295621493428;1706095060103519229;1706095060103521320;9477764025451211491;767156925;1;179;65;1097051923672017860;-7696026760144653445;571091585;1;169
