msgLen;blockLen;HDR_MESSAGETYPE;schemaID;versionID;HDR_TOPICID;HDR_PARTITIONID;HDR_BATCHID;HDR_OFFSETID;HDR_PRODUCETIME;HDR_CONSUMETIME;HDR_THREADID;HDR_MIC;ENR_ISIN;ENR_PRICEDECIMALS;ENR_AMOUNTDECIMALS;ENR_QUANTITYDECIMALS;ENR_INSTRUMENTID;ENR_INSTRUMENTGROUPCODE;ENR_OFFICIALSEGMENT;ENR_TRADINGCURRENCY;ENR_CURRENCYCOEFFICIENT;ENR_TRADINGCURRENCYINDICATOR;ENR_POOLFACTOR;ENR_INSTRUMENTDECIMALSRATIO;produceTime;consumeTime;batchID;patternID;CT1_phaseTime_1;CT1_phaseId_1;CT1_phaseQualifier_1;CT1_tradingPeriod_1;CT1_orderEntryQualifier_1;CT1_session__1;CT1_scheduledEvent_1
3841;19;12226;0;331;MTXCREFD;0;;2248;1707914741003070976;16546259662957561541;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914741003070976;16546259662957561541;1;33057;15067392331159427061;5;4;2;5;2;12
3841;19;12226;0;331;MTXCREFD;0;;2248;1707914741003070976;16546259662957561541;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914741003070976;16546259662957561541;1;33057;2079635068672978221;7;2;1;1;0;15
3841;19;12226;0;331;MTXCREFD;0;;2248;1707914741003070976;16546259662957561541;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914741003070976;16546259662957561541;1;33057;7225595788757439728;2;0;1;0;0;9
3841;19;12226;0;331;MTXCREFD;0;;2248;1707914741003070976;16546259662957561541;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914741003070976;16546259662957561541;1;33057;7278409562972499390;5;5;3;3;0;16
3841;19;12226;0;331;MTXCREFD;0;;2248;1707914741003070976;16546259662957561541;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914741003070976;16546259662957561541;1;33057;7208697484499535848;3;2;2;0;3;12
3841;19;12226;0;331;MTXCREFD;0;;2248;1707914741003070976;16546259662957561541;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914741003070976;16546259662957561541;1;33057;12853305010630826246;3;4;3;0;8;3
3841;19;12226;0;331;MTXCREFD;0;;2248;1707914741003070976;16546259662957561541;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914741003070976;16546259662957561541;1;33057;2664178155813748027;3;6;2;3;6;10
3841;19;12226;0;331;MTXCREFD;0;;2248;1707914741003070976;16546259662957561541;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914741003070976;16546259662957561541;1;33057;15653780999108737082;2;8;1;5;6;15
3841;19;12226;0;331;MTXCREFD;0;;2248;1707914741003070976;16546259662957561541;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914741003070976;16546259662957561541;1;33057;3995596274701733480;4;8;1;4;2;12
3841;19;12226;0;331;MTXCREFD;0;;2248;1707914741003070976;16546259662957561541;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914741003070976;16546259662957561541;1;33057;8537630732860192899;1;7;1;5;6;8
3841;19;12226;0;331;MTXCREFD;0;;2248;1707914741003070976;16546259662957561541;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914741003070976;16546259662957561541;1;33057;12339973982491143958;2;9;1;2;0;6
3841;19;12226;0;331;MTXCREFD;0;;2248;1707914741003070976;16546259662957561541;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914741003070976;16546259662957561541;1;33057;2409401890774926418;4;2;1;2;0;3
3841;19;12226;0;331;MTXCREFD;0;;2248;1707914741003070976;16546259662957561541;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914741003070976;16546259662957561541;1;33057;6007368483945093795;7;3;1;2;9;14
3841;19;12226;0;331;MTXCREFD;0;;2248;1707914741003070976;16546259662957561541;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914741003070976;16546259662957561541;1;33057;2819286620218773491;1;10;2;3;3;0
3841;19;12226;0;331;MTXCREFD;0;;2248;1707914741003070976;16546259662957561541;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914741003070976;16546259662957561541;1;33057;1586299458934079075;3;8;1;5;8;9
3841;19;12226;0;331;MTXCREFD;0;;2248;1707914741003070976;16546259662957561541;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914741003070976;16546259662957561541;1;33057;6031247567538539255;2;0;3;5;8;0
3841;19;12226;0;331;MTXCREFD;0;;2248;1707914741003070976;16546259662957561541;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914741003070976;16546259662957561541;1;33057;102729807844087041;1;8;1;1;1;14
3841;19;12226;0;331;MTXCREFD;0;;2248;1707914741003070976;16546259662957561541;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914741003070976;16546259662957561541;1;33057;10460133266914681741;4;6;2;4;5;12
3841;19;12226;0;331;MTXCREFD;0;;2248;1707914741003070976;16546259662957561541;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914741003070976;16546259662957561541;1;33057;706144498679103898;7;2;1;2;0;6
3841;19;12226;0;331;MTXCREFD;0;;2248;1707914741003070976;16546259662957561541;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914741003070976;16546259662957561541;1;33057;3289229873546640692;3;9;3;0;7;12
3841;19;12226;0;331;MTXCREFD;0;;2248;1707914741003070976;16546259662957561541;K2CDWMTXCREFD;-;;;;;;;;;;;;;1707914741003070976;16546259662957561541;1;33057;3694605931666479307;2;1;2;5;2;15
